,labeledCell,kernel,intensity,classLabel
0,0,0,1.0,0
1,0,3,0.7610108453746721,0
2,0,5,0.663004142464313,0
3,0,4,0.7194871052969526,0
4,1,5,0.8138042802294632,0
5,1,0,1.0,0
6,1,3,0.8680354771356302,0
7,1,4,0.8402670762276621,0
8,2,3,0.7633303565707695,0
9,2,5,0.6724069461352812,0
10,2,0,1.0,0
11,2,4,0.7195732817539139,0
12,3,3,0.7594932256999036,0
13,3,5,0.6620775847987201,0
14,3,0,1.0,0
15,3,4,0.7079683328562824,0
16,4,3,0.8580458278721457,0
17,4,5,0.7819236114312813,0
18,4,4,0.8259165245111277,0
19,4,0,1.0,0
20,5,3,0.7851362502734023,0
21,5,4,0.7477467745466703,0
22,5,0,1.0,0
23,5,5,0.708545123329975,0
24,6,5,0.6677384142174085,0
25,6,3,0.7737350843781811,0
26,6,4,0.7217047978454467,0
27,6,0,1.0,0
28,7,0,1.0,0
29,7,5,0.6621707771426752,0
30,7,4,0.7035113920422882,0
31,7,3,0.7495572149601158,0
32,8,3,0.7774978378181177,0
33,8,4,0.7349509260831413,0
34,8,5,0.6805506219375947,0
35,8,0,1.0,0
36,9,0,1.0,0
37,9,3,0.7381586086648632,0
38,9,5,0.6518449266089184,0
39,9,4,0.6913435515677328,0
40,10,5,0.766191398849517,0
41,10,0,1.0,0
42,10,4,0.8048720422406332,0
43,10,3,0.836022170245573,0
44,11,3,0.7116388717161861,0
45,11,0,1.0,0
46,11,4,0.6658930833573498,0
47,11,5,0.6064737492558762,0
48,12,4,0.7026261328776615,0
49,12,5,0.6590277177731247,0
50,12,3,0.7464155522671783,0
51,12,0,1.0,0
52,13,5,0.6934318125895709,0
53,13,3,0.7755134822402538,0
54,13,4,0.7354856954505614,0
55,13,0,1.0,0
56,14,5,0.599986749815663,0
57,14,4,0.6526527973224813,0
58,14,0,1.0,0
59,14,3,0.7018914638141146,0
60,15,4,0.6529782372199604,0
61,15,3,0.710700912226197,0
62,15,0,1.0,0
63,15,5,0.5979315457437588,0
64,16,3,0.7327902194927883,0
65,16,5,0.6307837329836216,0
66,16,4,0.6805904510945138,0
67,16,0,1.0,0
68,17,5,0.7074614030542172,0
69,17,0,1.0,0
70,17,3,0.8009703234498101,0
71,17,4,0.7547536590544666,0
72,18,5,0.6491089396852976,0
73,18,3,0.789609283171595,0
74,18,0,1.0,0
75,18,4,0.7288114317708203,0
76,19,0,1.0,0
77,19,3,0.7753319807145646,0
78,19,4,0.7276415511307559,0
79,19,5,0.675247453618758,0
80,20,3,0.7831779396849324,0
81,20,4,0.7259449236524022,0
82,20,0,1.0,0
83,20,5,0.6599410062436609,0
84,21,3,0.6824664656852955,0
85,21,0,1.0,0
86,21,4,0.6316172497139345,0
87,21,5,0.6009466872912573,0
88,22,3,0.7614825002643405,0
89,22,0,1.0,0
90,22,4,0.712896908768519,0
91,22,5,0.6677109918881854,0
92,23,5,0.6130725357917098,0
93,23,4,0.6655783907850787,0
94,23,0,1.0,0
95,23,3,0.7175131748355505,0
96,24,0,1.0,0
97,24,4,0.7317385062966222,0
98,24,5,0.6747022456869985,0
99,24,3,0.7840810951915492,0
100,25,0,1.0,0
101,25,5,0.6506223054771157,0
102,25,3,0.7429735789973999,0
103,25,4,0.7010520312019459,0
104,26,3,0.7738600165964307,0
105,26,4,0.7356763121127468,0
106,26,0,1.0,0
107,26,5,0.6970321209769352,0
108,27,0,1.0,0
109,27,5,0.6311536827382292,0
110,27,3,0.7489559929586939,0
111,27,4,0.6939819432291412,0
112,28,4,0.7379953523138443,0
113,28,3,0.7711066367397006,0
114,28,0,1.0,0
115,28,5,0.7033410829650802,0
116,29,0,1.0,0
117,29,4,0.709741688828596,0
118,29,5,0.6695509500562468,0
119,29,3,0.7513190833334762,0
120,30,5,0.7261812261941689,0
121,30,0,1.0,0
122,30,4,0.7574223122739939,0
123,30,3,0.7988668537223831,0
124,31,3,0.6852422046184153,0
125,31,5,0.591548938048087,0
126,31,4,0.6286419852381302,0
127,31,0,1.0,0
128,32,3,0.8365787725199306,0
129,32,5,0.7840138201069314,0
130,32,0,1.0,0
131,32,4,0.8076667944316667,0
132,33,4,0.7295854101456956,0
133,33,5,0.692454883174552,0
134,33,0,1.0,0
135,33,3,0.773325961375381,0
136,34,0,1.0,0
137,34,5,0.5863093353118054,0
138,34,3,0.6911792115668233,0
139,34,4,0.6358776001375279,0
140,35,4,0.6985618994281422,0
141,35,5,0.644124073354857,0
142,35,3,0.7485933010450493,0
143,35,0,1.0,0
144,36,4,0.753703525058314,0
145,36,3,0.7895654287954617,0
146,36,0,1.0,0
147,36,5,0.7165936556700809,0
148,37,4,0.8180753626522189,0
149,37,5,0.7939081000469298,0
150,37,3,0.8473976316918826,0
151,37,0,1.0,0
152,38,5,0.6517944951673081,0
153,38,3,0.7421478796820419,0
154,38,4,0.6917193209001828,0
155,38,0,1.0,0
156,39,4,0.7477632984826532,0
157,39,0,1.0,0
158,39,3,0.7815617955808308,0
159,39,5,0.7081591993292461,0
160,40,5,0.7375426376184725,0
161,40,3,0.8210156257314322,0
162,40,4,0.7815273915815995,0
163,40,0,1.0,0
164,41,0,1.0,0
165,41,3,0.8199257037344051,0
166,41,5,0.7429726890486701,0
167,41,4,0.786007451092725,0
168,42,5,0.6962057145568193,0
169,42,4,0.7308424621167987,0
170,42,0,1.0,0
171,42,3,0.7718209960740592,0
172,43,3,0.7784175017419577,0
173,43,4,0.7417849180302867,0
174,43,5,0.674273691815992,0
175,43,0,1.0,0
176,44,0,1.0,0
177,44,3,0.8316007175423005,0
178,44,5,0.7280588481524927,0
179,44,4,0.7854872227801719,0
180,45,3,0.8463148149226147,0
181,45,0,1.0,0
182,45,5,0.7789443232819812,0
183,45,4,0.8169699046614379,0
184,46,4,0.722523015943832,0
185,46,3,0.7632127095946557,0
186,46,0,1.0,0
187,46,5,0.6842576314594523,0
188,47,0,1.0,0
189,47,3,0.7799423040459401,0
190,47,4,0.7390088756060784,0
191,47,5,0.6768773757821459,0
192,48,3,0.7171761899974075,0
193,48,4,0.667856362653372,0
194,48,5,0.6195303476048518,0
195,48,0,1.0,0
196,49,5,0.7073155684194735,0
197,49,4,0.745948411616432,0
198,49,3,0.7790468754158726,0
199,49,0,1.0,0
200,50,4,0.6189860888008519,0
201,50,3,0.6746921657087834,0
202,50,0,1.0,0
203,50,5,0.5496183314391285,0
204,51,4,0.653740556151366,0
205,51,5,0.6033539125370545,0
206,51,0,1.0,0
207,51,3,0.7120392330723038,0
208,52,4,0.9615069409887261,0
209,52,5,0.9540868610257905,0
210,52,3,0.9686023645692126,0
211,52,0,1.0,0
212,53,3,0.7429156211566312,0
213,53,0,1.0,0
214,53,4,0.6905579569355056,0
215,53,5,0.6393598066993383,0
